alpha,beta,turn_mean,turn_std,pop_mean,pop_std,fix_alpha
0.4,0,48.5,47.5,73.13166666666663,14.794999999999966,0
0.5,0,41.5,3.5,75.6016666666666,1.4783333333332678,0
0.3,0,60.0,29.0,68.01833333333332,7.688333333333354,0
0.2,0,80.0,40.0,61.17666666666671,9.476666666666723,0
0.1,0,76.5,8.5,61.06166666666671,2.038333333333295,0
0,0.2,123.0,35.0,50.480000000000004,8.476666666666663,1
0,0.3,123.0,14.0,47.82166666666667,4.718333333333337,1
0,0.1,119.0,3.0,48.00333333333336,1.4899999999999984,1
0,0.4,151.0,14.0,38.45333333333333,4.090000000000003,1
0.6,0,15.0,2.0,85.47333333333323,0.6900000000000119,0
0,0.5,169.5,8.5,35.40166666666667,2.6749999999999936,1
0.0,0,166.5,6.5,40.33666666666666,1.4533333333333296,0
0,0.0,166.5,6.5,40.33666666666666,1.4533333333333296,1
0,0.6,69.5,8.5,67.96333333333334,2.4166666666666856,1
0.8,0,39.5,12.5,80.33999999999995,3.139999999999958,0
0.7,0,61.0,22.0,70.58166666666665,8.49499999999999,0
1.0,0,13.5,12.5,90.52499999999992,4.671666666666617,0
0.9,0,36.0,17.0,81.06666666666662,5.840000000000018,0
0,0.7,117.5,54.5,52.31166666666664,18.921666666666624,1
0,0.9,108.0,25.0,57.17166666666664,10.528333333333297,1
0,0.8,127.5,17.5,47.70166666666664,7.435000000000006,1
0,1.0,121.0,41.0,52.76999999999997,14.616666666666635,1
